Name;Type;Size;>Address;In/Out
HeatingFoilCurrent;UINT;2.0;0.0;Input
VerticalActuatorCurrent;UINT;2.0;5.0;Input
IsPowerSupplyOn;BOOL;0.1;7.0;Input
IsStartPressed;BOOL;0.1;8.0;Input
IsSuckerDown;BOOL;0.1;9.0;Input
IsDistanceSensorUp;BOOL;0.1;10.0;Input
AllowPowerSupply;BOOL;0.1;0.0;Output
LockWeak;BOOL;0.1;1.0;Output
LockStrong;BOOL;0.1;2.0;Output
MoveSuckerDown;BOOL;0.1;3.0;Output
MoveDistanceSensorUp;BOOL;0.1;4.0;Output
AllowMirrorMovement;BOOL;0.1;5.0;Output
